Date,Opponent,Result,SP,K,E,TA,PCT,AST,SA,SE,DIG,RE,BS,BA,BE,TB,BHE,PTS,G,Team
11/24/2025, Texas A&M,W,4,58,23,128,0.273,54,2,6,51,5,3,24,3,15,0,75,W,texas
11/25/2025, Kentucky,L,5,77,21,186,0.301,71,1,10,78,5,1,15,5,8.5,0,86.5,W,texas
8/29/2025, Marist,W,4,55,14,104,0.394,51,11,10,41,3,5,12,1,11,0,77,W,rutgers
8/30/2025, Liberty,L,5,66,24,154,0.273,63,7,8,67,11,5,10,2,10,0,83,W,rutgers
8/31/2025, Buffalo,L,5,60,25,137,0.255,57,7,13,47,9,5,0,1,5,0,72,W,rutgers
09/05/2025, Dartmouth,W,3,43,11,92,0.348,39,7,9,46,1,2,8,1,6,0,56,W,rutgers
09/06/2025, Sacred Heart,W,3,38,14,88,0.273,33,7,7,42,4,4,16,0,12,0,57,W,rutgers
09/07/2025, LIU,W,4,52,15,112,0.33,47,11,7,49,5,2,8,3,6,0,69,W,rutgers
9/10/2025,Rider,W,3,44,9,88,0.398,42,9,9,38,3,4,8,0,8,0,61,W,rutgers
9/11/2025,Saint Francis,W,3,41,10,68,0.456,39,7,12,26,5,4,8,0,8,0,56,W,rutgers
9/12/2025,New Hampshire,W,3,51,22,102,0.284,49,8,13,35,4,1,10,0,6,0,65,W,rutgers
9/19/2025, Coppin St.,W,3,40,14,87,0.299,38,5,10,36,2,3,10,2,8,0,53,W,rutgers
9/20/2025, George Mason,L,3,32,28,96,0.042,31,7,11,29,7,3,2,1,4,0,43,W,rutgers
9/23/2025,Columbia,W,3,43,7,86,0.419,42,11,9,38,2,0,20,0,10,0,64,W,rutgers
9/26/2025, Wisconsin,L,3,27,20,94,0.074,27,3,9,33,9,0,6,0,3,0,33,W,rutgers
9/28/2025, Minnesota,L,3,41,15,94,0.277,40,6,10,29,11,1,8,2,5,0,52,W,rutgers
10/03/2025,Maryland,W,4,51,23,121,0.231,48,9,16,50,6,2,18,0,11,0,71,W,rutgers
10/04/2025,Nebraska,L,3,32,26,98,0.061,28,3,9,26,3,0,6,0,3,0,38,W,rutgers
10/10/2025,Northwestern,L,3,44,17,112,0.241,40,5,14,44,3,1,16,2,9,0,58,W,rutgers
10/11/2025,Illinois,L,3,37,17,95,0.211,36,4,7,25,6,1,12,1,7,1,48,W,rutgers
10/15/2025, Maryland,L,4,47,26,134,0.157,44,9,11,45,4,1,8,1,5,0,61,W,rutgers
10/19/2025,Purdue,L,3,32,22,99,0.101,30,5,3,40,4,1,8,0,5,0,42,W,rutgers
10/24/2025, Penn St.,L,3,30,17,90,0.144,28,2,8,36,5,1,8,0,5,0,37,W,rutgers
10/26/2025, Iowa,L,5,62,27,159,0.22,53,10,16,54,9,3,10,1,8,0,80,W,rutgers
10/31/2025, Ohio St.,W,3,38,15,77,0.299,36,6,5,32,3,1,14,2,8,0,52,W,rutgers
11/01/2025, Michigan St.,L,3,40,15,101,0.248,37,4,6,34,7,2,10,2,7,0,51,W,rutgers
11/07/2025,Michigan,L,5,69,26,168,0.256,60,4,9,61,2,1,12,1,7,0,80,W,rutgers
11/09/2025,Ohio St.,L,5,69,22,141,0.333,62,6,8,50,9,3,10,0,8,1,83,W,rutgers
11/14/2025, Southern California,L,3,26,24,101,0.02,24,1,7,30,8,1,6,4,4,0,31,W,rutgers
11/15/2025, UCLA,L,3,34,22,111,0.108,32,2,8,40,1,2,10,4,7,0,43,W,rutgers
11/20/2025, Indiana,L,3,20,23,72,-0.042,19,7,6,16,6,2,2,1,3,0,30,W,rutgers
11/23/2025,Minnesota,L,3,37,21,94,0.17,35,6,12,26,6,1,8,2,5,0,48,W,rutgers
11/26/2025,Oregon,L,4,40,30,126,0.079,37,3,8,34,10,0,12,1,6,0,49,W,rutgers
11/28/2025,Washington,W,4,59,28,149,0.208,56,12,9,54,6,1,14,2,8,0,79,W,rutgers
8/29/2025, Coastal Carolina,L,5,50,32,164,0.11,41,6,11,84,6,3,16,0,11,0,67,W,maryland
8/30/2025, North Carolina,L,4,53,20,148,0.223,49,4,11,65,7,0,6,1,3,0,60,W,maryland
09/05/2025, Old Dominion,W,3,34,16,92,0.196,31,7,15,27,5,3,18,0,12,0,53,W,maryland
09/06/2025, William & Mary,W,4,57,33,160,0.15,54,6,6,72,7,1,29,4,15.5,0,78.5,W,maryland
09/07/2025, UMBC,W,4,44,33,152,0.072,41,11,10,48,4,2,34,1,19,0,74,W,maryland
9/10/2025,Delaware St.,W,3,34,9,85,0.294,31,10,7,35,3,2,14,0,9,0,53,W,maryland
9/13/2025, Davidson,W,5,63,22,165,0.248,60,4,9,79,8,1,24,0,13,0,80,W,maryland
9/14/2025, Wake Forest,L,4,55,18,140,0.264,49,6,7,45,6,0,22,2,11,2,72,W,maryland
9/16/2025, Coppin St.,W,5,60,18,142,0.296,58,4,10,50,9,1,36,1,19,0,83,W,maryland
9/19/2025,Seton Hall,W,3,37,9,104,0.269,33,3,7,58,5,1,14,1,8,1,48,W,maryland
9/25/2025, Iowa,L,3,35,15,98,0.204,32,4,9,26,7,0,8,1,4,0,43,W,maryland
9/27/2025, Nebraska,L,3,25,16,100,0.09,24,9,7,33,5,1,6,0,4,0,38,W,maryland
10/03/2025, Rutgers,L,4,39,21,117,0.154,36,6,13,37,9,1,20,0,11,0,56,W,maryland
10/05/2025,Penn St.,L,5,41,22,133,0.143,40,7,16,50,8,2,14,0,9,0,57,W,maryland
10/10/2025,Illinois,L,4,44,29,138,0.109,41,9,11,60,8,1,28,0,15,0,68,W,maryland
10/12/2025,Wisconsin,L,3,28,16,96,0.125,28,3,9,33,6,0,8,0,4,0,35,W,maryland
10/15/2025,Rutgers,W,4,59,16,126,0.341,54,4,15,49,9,1,18,0,10,0,73,W,maryland
10/19/2025, Michigan St.,L,5,49,25,140,0.171,44,1,7,49,9,2,38,0,21,0,71,W,maryland
10/23/2025, Southern California,L,3,21,25,85,-0.047,18,3,8,32,2,0,2,0,1,0,25,W,maryland
10/25/2025, UCLA,L,3,29,16,103,0.126,27,4,5,41,4,2,8,1,6,0,39,W,maryland
10/31/2025,Indiana,L,3,24,15,91,0.099,23,3,4,33,10,0,8,0,4,0,31,W,maryland
11/02/2025, Northwestern,L,4,53,23,143,0.21,52,4,8,63,9,1,20,2,11,0,68,W,maryland
11/08/2025,Ohio St.,L,5,56,25,163,0.19,54,10,11,61,7,2,20,0,12,0,78,W,maryland
11/09/2025,Michigan,L,3,24,25,92,-0.011,22,2,6,26,10,2,12,0,8,0,34,W,maryland
11/14/2025, Purdue,L,3,32,18,89,0.157,27,4,8,26,8,1,8,0,5,0,41,W,maryland
11/16/2025, Indiana,L,3,40,11,93,0.312,37,3,5,35,5,1,6,1,4,0,47,W,maryland
11/21/2025,Minnesota,L,3,19,16,89,0.034,17,3,8,34,6,1,8,1,5,0,27,W,maryland
11/23/2025, Penn St.,L,3,33,14,102,0.186,30,1,3,34,6,0,2,0,1,0,35,W,maryland
11/26/2025,Washington,L,3,36,13,93,0.247,34,2,6,35,6,3,6,2,6,0,44,W,maryland
11/28/2025,Oregon,L,3,22,16,71,0.085,20,2,5,19,11,0,12,0,6,0,30,W,maryland
8/30/2025,  Maryland,W,4,57,13,127,0.346,55,7,6,59,4,1,16,0,9,0,73,W,north carolina
8/31/2025,  Coastal Carolina,W,4,60,19,120,0.342,56,6,9,47,3,4,10,0,9,0,75,W,north carolina
9/5/2025,  Bucknell,W,4,67,22,140,0.321,55,1,9,50,2,1,12,2,7,0,75,W,north carolina
9/7/2025,  Oral Roberts,W,3,35,8,82,0.329,33,4,9,35,0,0,20,1,10,0,49,W,north carolina
9/9/2025,  Florida,W,3,40,17,108,0.213,34,5,8,32,1,0,12,2,6,0,51,W,north carolina
9/12/2025,  South Carolina,L,5,52,31,147,0.143,51,3,8,52,5,0,32,3,16,0,71,W,north carolina
9/16/2025,  App Ste,W,4,50,15,123,0.285,44,2,11,52,7,2,14,1,9,1,61,W,north carolina
9/19/2025,  Kansas St.,L,5,50,22,133,0.211,47,1,5,58,7,4,16,1,12,0,63,W,north carolina
9/21/2025,  East Carolina,W,4,67,22,173,0.26,58,2,6,66,1,2,26,1,15,0,84,W,north carolina
9/26/2025,  Wake Forest,W,3,47,11,108,0.333,44,4,6,43,2,0,24,2,12,0,63,W,north carolina
9/28/2025,  NC Ste,W,4,61,23,153,0.248,58,2,9,75,2,1,20,1,11,1,74,W,north carolina
10/1/2025,  Duke,W,3,41,9,89,0.36,39,6,6,45,3,0,24,1,12,1,59,W,north carolina
10/4/2025,  Duke,W,3,37,16,98,0.214,33,8,10,38,3,1,22,0,12,0,57,W,north carolina
10/10/2025,  Clemson,W,3,48,18,116,0.259,44,5,7,48,3,1,18,0,10,1,63,W,north carolina
10/12/2025,  Georgia Tech,W,4,50,18,116,0.276,47,6,12,23,3,0,30,1,15,0,71,W,north carolina
10/17/2025,  Boston College,W,3,39,19,97,0.206,32,6,3,38,4,1,24,0,13,0,58,W,north carolina
10/19/2025,  Syracuse,W,4,64,19,124,0.363,62,6,10,60,4,0,12,0,6,0,76,W,north carolina
10/24/2025,  Notre Dame,W,5,55,18,138,0.268,50,5,12,55,7,3,14,0,10,0,70,W,north carolina
10/26/2025,  Louisville,L,4,49,29,176,0.114,44,0,4,78,7,4,27,0,17.5,0,66.5,W,north carolina
10/31/2025,  SMU,W,5,66,21,162,0.278,63,5,12,60,5,0,18,1,9,2,80,W,north carolina
11/2/2025,  Pittsburgh,L,5,59,30,161,0.18,59,9,5,53,1,0,45,5,22.5,0,90.5,W,north carolina
11/7/2025,  Stanford,L,3,34,22,105,0.114,32,3,5,31,4,0,12,0,6,0,43,W,north carolina
11/9/2025,  California,W,3,37,10,87,0.31,36,9,6,38,0,1,22,1,12,0,58,W,north carolina
11/14/2025,  Virginia,W,4,63,20,136,0.316,60,4,7,48,4,2,10,2,7,0,74,W,north carolina
11/16/2025,  Virginia Tech,W,3,41,14,104,0.26,38,8,7,54,4,1,16,0,9,0,58,W,north carolina
11/21/2025,  Florida St.,L,4,61,25,160,0.225,59,3,6,55,7,0,16,1,8,0,72,W,north carolina
11/23/2025,  Miami (FL),L,3,24,20,81,0.049,24,5,6,28,7,2,10,4,7,0,36,W,north carolina
11/26/2025,  Virginia,W,3,46,15,104,0.298,40,8,8,37,7,1,12,0,7,0,61,W,north carolina
11/29/2025,  Miami (FL),L,5,49,25,166,0.145,47,4,7,58,7,2,40,1,22,0,75,W,north carolina
8/30/2024,  South Fla.,W,3,41,8,90,0.367,38,5,10,39,1,4,12,0,10,1,56,W,florida state
8/31/2024,  UC Santa Barbara,W,3,51,18,102,0.324,48,10,10,41,2,2,6,0,5,1,66,W,florida state
9/1/2024,  Georgia,W,4,49,20,129,0.225,43,6,8,56,2,1,16,0,9,2,64,W,florida state
9/6/2024,  Cal Poly,W,3,42,8,116,0.293,42,5,7,42,2,2,20,2,12,0,59,W,florida state
9/8/2024,  Auburn,L,4,55,33,178,0.124,54,1,8,86,5,0,12,1,6,0,62,W,florida state
9/10/2024,  North Florida,W,4,52,9,112,0.384,46,10,4,55,4,5,13,0,11.5,0,73.5,W,florida state
9/13/2024,  Fla. lantic,W,3,51,8,109,0.394,49,2,8,43,3,2,14,0,9,1,62,W,florida state
9/15/2024,  UCF,W,4,50,15,131,0.267,44,13,11,55,5,2,22,0,13,2,76,W,florida state
9/17/2024,  Florida,L,5,56,22,139,0.245,47,4,13,45,7,0,22,1,11,0,71,W,florida state
9/21/2024,  Alabama,W,3,50,8,91,0.462,46,5,11,43,3,2,10,0,7,0,62,W,florida state
9/25/2024,  Miami (FL),W,5,70,21,188,0.261,64,6,13,78,2,1,18,0,10,8,86,W,florida state
9/29/2024,  Miami (FL),W,3,37,6,99,0.313,33,6,6,43,4,2,8,2,6,0,49,W,florida state
10/4/2024,  Virginia,L,3,39,18,121,0.174,38,2,8,48,4,0,14,0,7,2,48,W,florida state
10/6/2024,  Virginia Tech,W,3,41,10,87,0.356,34,3,6,39,2,0,22,0,11,0,55,W,florida state
10/11/2024,  Louisville,L,5,55,22,137,0.241,49,9,9,52,4,2,14,0,9,4,73,W,florida state
10/13/2024,  Notre Dame,W,4,52,21,143,0.217,49,8,10,66,1,2,21,0,12.5,0,72.5,W,florida state
10/18/2024,  Boston College,W,5,63,22,197,0.208,58,6,10,88,8,1,22,2,12,0,81,W,florida state
10/20/2024,  Syracuse,W,3,48,9,106,0.368,46,8,10,47,3,1,14,0,8,0,64,W,florida state
10/25/2024,  North Carolina,L,5,66,22,176,0.25,60,6,11,70,7,2,16,1,10,1,82,W,florida state
10/27/2024,  Duke,W,3,44,8,102,0.353,40,5,6,55,2,0,18,0,9,0,58,W,florida state
11/1/2024,  California,W,3,50,9,101,0.406,46,3,11,31,1,3,14,2,10,1,63,W,florida state
11/3/2024,  Stanford,L,4,44,14,122,0.246,39,4,11,32,9,0,8,1,4,0,52,W,florida state
11/8/2024,  Wake Forest,W,3,44,19,106,0.236,40,10,5,47,2,0,14,0,7,0,61,W,florida state
11/10/2024,  NC Ste,W,4,51,17,150,0.227,46,5,12,68,5,0,22,1,11,0,67,W,florida state
11/15/2024,  Pittsburgh,L,3,27,15,72,0.167,26,2,6,15,6,1,12,2,7,0,36,W,florida state
11/17/2024,  SMU,L,3,42,18,99,0.242,41,2,11,32,8,1,18,1,10,0,54,W,florida state
11/22/2024,  Georgia Tech,W,5,66,15,171,0.298,62,3,6,76,3,3,10,0,8,1,77,W,florida state
11/24/2024,  Clemson,W,5,70,19,151,0.338,65,5,15,55,4,2,26,0,15,0,90,W,florida state
11/27/2024,  SMU,L,3,45,14,132,0.235,40,2,9,57,2,1,12,1,7,1,54,W,florida state
11/29/2024,  Wake Forest,W,4,57,11,132,0.348,56,8,9,49,3,0,16,2,8,1,73,W,florida state
12/5/2024,  Ole Miss,L,5,60,26,161,0.211,57,9,7,56,8,3,10,0,8,0,77,W,florida state
1/3/2025,  BYU,L,4,47,21,103,0.252,43,4,20,23,10,0,15,1,7.5,0,58.5,M,ohio state
1/4/2025,  BYU,L,4,40,23,114,0.149,40,6,21,27,8,0,18,2,9,0,55,M,ohio state
1/10/2025,  Fort Valley St.,W,3,42,9,85,0.388,40,4,21,29,3,1,6,0,4,0,50,M,ohio state
1/11/2025,  Fort Valley St.,W,3,42,10,67,0.478,39,7,14,21,2,1,10,0,6,0,55,M,ohio state
1/17/2025,  Stanford,L,3,21,27,74,-0.081,21,2,7,17,11,0,15,2,7.5,0,30.5,M,ohio state
1/18/2025,  UCLA,W,4,39,19,87,0.23,36,7,15,24,4,1,8,0,5,0,51,M,ohio state
1/31/2025,  Southern California,L,4,54,27,111,0.243,55,4,15,20,2,0,11,1,5.5,0,63.5,M,ohio state
2/1/2025,  UCLA,L,4,49,18,106,0.292,45,7,21,28,12,0,8,5,4,0,60,M,ohio state
2/8/2025,  Loyola Chicago,L,4,53,17,115,0.313,53,5,14,44,8,1,6,2,4,0,62,M,ohio state
2/10/2025,  Purdue Fort Wayne,W,3,37,14,65,0.354,33,6,13,21,4,0,16,1,8,0,51,M,ohio state
2/15/2025,  Lindenwood,W,4,53,10,99,0.434,52,8,18,34,8,0,5,0,2.5,0,63.5,M,ohio state
2/20/2025,  McKendree,L,4,47,17,126,0.238,45,5,12,49,3,1,6,3,4,0,56,M,ohio state
2/22/2025,  Lindenwood,W,4,57,14,101,0.426,53,10,20,24,10,5,2,4,6,0,73,M,ohio state
2/27/2025,  Ball St.,L,5,57,21,126,0.286,49,7,23,33,7,3,10,0,8,0,72,M,ohio state
3/1/2025,  Purdue Fort Wayne,W,5,56,23,124,0.266,55,7,20,44,5,0,13,3,6.5,0,69.5,M,ohio state
3/7/2025,  NJIT,W,3,30,13,64,0.266,27,9,19,14,1,2,14,1,9,0,48,M,ohio state
3/8/2025,  NJIT,W,3,41,14,84,0.321,37,5,12,25,2,0,15,2,7.5,0,53.5,M,ohio state
3/13/2025,  Queens (NC),W,3,42,15,96,0.281,40,8,14,35,3,2,12,1,8,0,58,M,ohio state
3/15/2025,  Queens (NC),W,3,39,12,76,0.355,36,6,9,24,2,0,11,1,5.5,0,50.5,M,ohio state
3/20/2025,  Loyola Chicago,L,4,48,14,96,0.354,46,9,14,29,11,0,6,1,3,0,60,M,ohio state
3/22/2025,  Lewis,L,5,61,28,149,0.221,57,4,20,49,5,3,24,2,15,0,80,M,ohio state
3/27/2025,  McKendree,W,5,61,34,154,0.175,59,8,16,68,3,1,11,0,6.5,0,75.5,M,ohio state
4/3/2025,  Ball St.,W,4,65,13,119,0.437,61,11,15,34,6,2,6,1,5,0,81,M,ohio state
4/5/2025,  Lewis,W,4,61,21,130,0.308,54,4,14,45,6,0,7,3,3.5,0,68.5,M,ohio state
4/11/2025,  Quincy,W,3,45,10,86,0.407,41,4,8,35,2,4,2,1,5,0,54,M,ohio state
4/12/2025,  Quincy,W,4,52,25,125,0.216,51,4,16,49,4,6,4,3,8,1,64,M,ohio state
4/19/2025,  Lindenwood,W,4,54,19,109,0.321,53,5,17,40,4,0,5,0,2.5,0,61.5,M,ohio state
4/23/2025,  McKendree,W,3,35,17,79,0.228,34,7,10,29,1,3,15,0,10.5,0,52.5,M,ohio state
4/26/2025,  Loyola Chicago,L,3,31,20,90,0.122,31,3,7,31,7,0,5,1,2.5,1,36.5,M,ohio state
1/10/2025, Ohio St.,L,3,33,15,87,0.207,23,3,13,29,4,1,2,0,2,0,38,M,fvsu
1/11/2025, Ohio St.,L,3,21,15,65,0.092,19,2,8,12,7,2,5,0,4.5,0,27.5,M,fvsu
1/17/2025,Mount Olive,L,3,28,10,83,0.217,28,4,13,21,7,1,7,0,4.5,0,36.5,M,fvsu
1/18/2025,Mount Olive,L,4,48,20,110,0.255,43,8,14,34,3,0,7,0,3.5,0,59.5,M,fvsu
1/24/2025, Barry,W,5,62,19,120,0.358,46,5,22,40,4,1,8,2,5,1,72,M,fvsu
1/24/2025, Emmanuel (GA),W,3,37,12,75,0.333,32,5,13,29,3,0,26,1,13,2,55,M,fvsu
1/31/2025, Long Beach St.,L,3,29,15,74,0.189,24,2,10,16,9,2,4,2,4,0,35,M,fvsu
02/01/2025, Belmont Abbey,L,4,40,27,98,0.133,36,3,17,26,5,2,12,1,8,0,51,M,fvsu
02/01/2025, Grand Canyon,L,3,28,19,76,0.118,26,1,9,19,9,2,11,0,7.5,0,36.5,M,fvsu
2/12/2025,Emmanuel (GA),W,3,36,8,72,0.389,31,7,14,25,6,0,2,0,1,2,44,M,fvsu
2/13/2025,Cawba,W,3,35,3,62,0.516,25,8,16,21,2,1,5,0,3.5,0,46.5,M,fvsu
2/21/2025, Lincoln Memorial,L,3,23,15,69,0.116,21,3,11,23,11,0,6,0,3,0,29,M,fvsu
2/23/2025,Benedict,W,3,34,14,67,0.299,28,10,13,26,1,4,13,0,10.5,0,54.5,M,fvsu
2/27/2025, Benedict,W,3,46,14,83,0.386,43,7,9,23,3,5,2,1,6,0,59,M,fvsu
03/08/2025,Morehouse,W,3,42,9,80,0.413,33,8,14,32,1,2,10,0,7,0,57,M,fvsu
03/08/2025,Lewis,L,3,25,21,86,0.047,20,1,7,27,4,0,2,3,1,0,27,M,fvsu
3/10/2025, Morehouse,W,3,37,8,71,0.408,31,10,13,25,3,1,8,1,5,0,52,M,fvsu
3/28/2025,Central St. (OH),W,3,35,13,75,0.293,32,4,10,33,4,3,7,0,6.5,0,45.5,M,fvsu
3/29/2025,Central St. (OH),W,3,34,7,74,0.365,31,5,7,34,2,0,24,0,12,0,51,M,fvsu
04/04/2025,LeMoyne-Owen,W,3,29,5,59,0.407,26,12,11,34,1,2,7,1,5.5,0,46.5,M,fvsu
04/05/2025,LeMoyne-Owen,W,3,31,17,80,0.175,25,4,12,40,2,2,10,0,7,0,42,M,fvsu
04/09/2025,Edward Wers,W,4,52,11,103,0.398,49,8,13,47,2,2,16,1,10,0,70,M,fvsu
4/12/2025, Edward Wers,W,3,33,5,60,0.467,31,4,14,19,3,5,4,2,7,1,44,M,fvsu
4/15/2025,Benedict,W,3,43,11,83,0.386,36,11,21,30,1,1,10,1,6,2,60,M,fvsu
4/16/2025,Edward Wers,W,4,56,10,114,0.404,50,8,17,52,7,7,6,0,10,1,74,M,fvsu
05/08/2025, Long Beach St.,L,3,21,12,70,0.129,19,0,13,18,6,1,4,6,3,0,24,M,fvsu
1/17/2025, Fort Valley St.,W,3,43,13,86,0.349,40,7,11,38,4,1,6,1,4,0,54,M,umo
1/18/2025, Fort Valley St.,W,4,51,11,106,0.377,46,3,17,31,8,3,8,0,7,0,61,M,umo
1/24/2025, Lewis,L,5,66,20,146,0.315,61,6,21,44,9,2,19,2,11.5,0,83.5,M,umo
1/25/2025, Loyola Chicago,L,3,30,17,72,0.181,30,2,8,20,14,1,9,3,5.5,0,37.5,M,umo
1/31/2025,Edward Wers,W,4,42,13,103,0.282,37,11,11,37,3,2,17,0,10.5,0,63.5,M,umo
02/04/2025, Cawba,W,3,43,10,88,0.375,38,4,9,30,2,3,8,1,7,0,54,M,umo
02/07/2025,King (TN),W,3,44,11,84,0.393,38,10,11,32,2,2,14,1,9,0,63,M,umo
02/08/2025,Lees-McRae,W,3,36,19,80,0.213,33,4,14,27,4,0,10,0,5,0,45,M,umo
2/14/2025, Belmont Abbey,W,3,51,11,89,0.449,48,5,10,33,2,3,7,3,6.5,0,62.5,M,umo
2/15/2025, North Greenville,W,3,39,14,82,0.305,34,3,11,29,2,1,14,0,8,0,50,M,umo
2/18/2025,Cawba,W,3,42,7,73,0.479,39,7,11,37,4,3,9,0,7.5,0,56.5,M,umo
2/28/2025, Erskine,W,3,37,5,80,0.4,32,3,9,37,2,1,14,1,8,0,48,M,umo
03/01/2025, Emmanuel (GA),W,3,39,9,75,0.4,36,7,14,28,2,3,10,1,8,0,54,M,umo
3/14/2025,North Greenville,W,3,39,7,82,0.39,34,3,11,29,1,2,11,1,7.5,0,49.5,M,umo
3/15/2025,Belmont Abbey,W,3,46,13,99,0.333,40,4,11,34,4,1,8,1,5,0,55,M,umo
3/18/2025, Barton,W,3,44,20,90,0.267,42,11,9,33,2,0,8,0,4,0,59,M,umo
3/21/2025, Lees-McRae,W,4,46,19,103,0.262,42,2,11,31,3,3,23,0,14.5,0,62.5,M,umo
3/22/2025, King (TN),W,3,39,12,88,0.307,36,3,9,39,3,2,8,0,6,0,48,M,umo
3/28/2025,Emmanuel (GA),W,3,39,10,86,0.337,33,1,13,38,3,1,8,1,5,0,45,M,umo
3/29/2025,Erskine,W,3,35,11,75,0.32,29,2,9,30,2,3,10,0,8,0,45,M,umo
04/05/2025,Lincoln Memorial,L,4,46,23,123,0.187,43,3,11,46,6,4,6,0,7,0,56,M,umo
4/12/2025,Barton,W,4,59,25,129,0.264,55,5,17,44,6,4,8,3,8,0,72,M,umo
4/25/2025, North Greenville,W,3,46,9,95,0.389,43,2,13,29,1,2,13,1,8.5,0,56.5,M,umo
4/26/2025, Belmont Abbey,L,3,36,24,97,0.124,33,1,6,26,0,2,6,0,5,0,42,M,umo
1/10/2025,  NJIT,W,4,52,16,114,0.316,46,4,11,44,2,2,22,0,13,1,69,M,gcu
1/11/2025,  NJIT,W,4,50,15,96,0.365,48,7,21,22,1,3,30,1,18,0,75,M,gcu
1/17/2025,  George Mason,W,3,42,9,71,0.465,38,3,13,24,3,0,8,0,4,0,49,M,gcu
1/18/2025,  George Mason,W,4,53,21,100,0.32,46,9,19,34,3,3,4,2,5,0,67,M,gcu
1/24/2025,  UC Santa Barbara,L,3,20,15,68,0.074,18,2,9,23,8,0,18,0,9,0,31,M,gcu
1/25/2025,  UC Santa Barbara,W,5,54,13,114,0.36,50,4,15,42,6,1,20,1,11,0,69,M,gcu
1/31/2025,  Belmont Abbey,W,3,34,11,71,0.324,30,3,11,25,1,1,15,0,8.5,0,45.5,M,gcu
2/1/2025,  Fort Valley St.,W,3,40,15,78,0.321,38,9,11,26,1,0,17,2,8.5,0,57.5,M,gcu
2/14/2025,  UC San Diego,W,4,39,25,101,0.139,37,5,13,34,0,1,13,1,7.5,0,51.5,M,gcu
2/15/2025,  UC San Diego,W,5,60,13,135,0.348,51,7,21,43,6,2,13,2,8.5,0,75.5,M,gcu
2/19/2025,  CSUN,L,4,42,20,101,0.218,41,0,21,28,8,3,4,1,5,0,47,M,gcu
2/21/2025,  Long Beach St.,L,3,27,13,66,0.212,21,1,7,19,8,4,7,2,7.5,0,35.5,M,gcu
2/27/2025,  Pepperdine,L,4,60,12,118,0.407,58,5,16,39,12,4,6,2,7,0,72,M,gcu
2/28/2025,  Pepperdine,L,4,48,15,122,0.27,46,3,13,43,5,2,15,3,9.5,0,60.5,M,gcu
3/8/2025,  Penn St.,W,3,34,10,70,0.343,29,8,11,24,2,3,13,0,9.5,0,51.5,M,gcu
3/9/2025,  Penn St.,W,3,43,17,99,0.263,42,2,10,33,3,2,14,1,9,0,54,M,gcu
3/14/2025,  CUI,W,3,43,13,76,0.395,40,8,9,25,4,1,16,0,9,0,60,M,gcu
3/15/2025,  CUI,W,3,41,7,75,0.453,39,2,9,32,3,0,18,1,9,0,52,M,gcu
3/21/2025,  BYU,L,4,52,18,117,0.291,51,4,19,28,7,1,17,0,9.5,0,65.5,M,gcu
3/22/2025,  BYU,W,3,39,6,84,0.393,34,10,12,28,0,0,13,0,6.5,0,55.5,M,gcu
3/28/2025,  Southern California,L,4,48,17,97,0.32,45,3,14,27,6,0,12,4,6,0,57,M,gcu
